CountyName,Year,beef,milk,steers,bulls,dairy_150,dairy_440,fin_cattle,hogs_fin,hogs_sow,hogs_boars
BLACK HAWK,1975,9100,6000,6540,455,6597,6597,8180,205558,198,3961
BLACK HAWK,1976,9750,5400,8339,488,4584,4584,8846,99467,219,4370
BLACK HAWK,1977,8500,5500,8284,425,5557,5557,8928,114133,234,4685
BLACK HAWK,1978,8500,5500,9211,425,6023,6023,9737,105000,247,4943
BLACK HAWK,1979,8200,4700,8829,410,4711,4711,9443,115000,228,4566
BLACK HAWK,1980,8100,4700,7576,405,4630,4630,8692,108333,227,4542
BLACK HAWK,1981,8500,4700,7467,425,4666,4666,8056,111315,223,4468
BLACK HAWK,1982,8100,4700,6159,405,4707,4707,7486,108333,194,3871
BLACK HAWK,1983,6900,4600,6595,345,4612,4612,7898,111667,197,3946
BLACK HAWK,1984,6100,4000,5450,305,5177,5177,6650,107333,188,3750
BLACK HAWK,1985,5500,4000,4796,275,5353,5353,6265,106333,179,3577
BLACK HAWK,1986,4700,4800,4905,235,4638,4638,5302,116000,172,3436
BLACK HAWK,1987,4300,3500,5396,215,1927,1927,4632,139333,181,3620
BLACK HAWK,1988,4000,3400,5423,200,2751,2751,4308,145000,173,3469
BLACK HAWK,1989,4100,3200,5014,205,2516,2516,4005,149000,182,3642
BLACK HAWK,1990,4000,3100,5341,200,2480,2480,4190,150640,173,3469
BLACK HAWK,1991,3962,2666,5614,198,2084,2084,4357,156356,195,3902
BLACK HAWK,1992,3932,2509,4796,197,2082,2082,4161,156025,184,3686
BLACK HAWK,1993,3865,2346,4851,193,1876,1876,4256,156619,184,3686
BLACK HAWK,1994,3781,2219,5014,189,1672,1672,4386,154683,163,3251
BLACK HAWK,1995,3820,1962,4960,191,1542,1542,4444,150827,147,2949
BLACK HAWK,1996,3684,1781,4905,184,1308,1308,4502,146816,135,2710
BLACK HAWK,1997,3638,1476,5450,182,905,905,4760,155610,597,11946
BLACK HAWK,1998,3515,1531,5450,176,886,886,3817,162372,545,10891
BLACK HAWK,1999,3585,1538,5559,179,784,784,4120,166468,490,9806
BLACK HAWK,2000,3622,1543,5995,181,643,643,4265,169115,462,9238
BLACK HAWK,2001,3500,1600,5723,175,628,628,4041,173984,453,9070
BLACK HAWK,2002,3577,1270,6557,179,426,426,4705,177765,436,8722
BLACK HAWK,2003,3500,1500,4962,175,729,729,4154,176629,361,7225
BLACK HAWK,2004,3000,1200,4146,150,786,786,3049,175273,315,6290
BLACK HAWK,2005,3000,1300,3762,150,875,875,2587,173753,262,5242
BLACK HAWK,2006,2500,1300,3486,125,956,956,2495,173481,207,4142
BLACK HAWK,2007,3811,1212,4397,191,470,470,3240,176634,141,2820
BLACK HAWK,2008,4100,1200,3465,205,524,524,2812,184417,138,2762
BLACK HAWK,2009,3900,1200,3373,195,557,557,2664,194868,187,3736
BLACK HAWK,2010,3800,1200,3568,190,533,533,2612,208398,232,4644
BLACK HAWK,2011,3600,1100,3662,180,545,545,2526,224482,278,5557
BLACK HAWK,2012,5072,773,4156,254,1094,1094,2573,239405,279,5576
BLACK HAWK,2013,5300,800,3836,265,1102,1102,2792,250332,316,6325
BLACK HAWK,2014,5000,800,4118,250,1092,1092,3211,266591,329,6586
BLACK HAWK,2015,4700,800,4475,235,967,967,3655,277898,336,6716
BLACK HAWK,2016,4400,700,4896,220,774,774,4120,294089,336,6716
BLACK HAWK,2017,3752,942,7032,188,487,487,5158,308169,326,6521
BLACK HAWK,2018,3800,900,5571,190,626,626,4671,311315,333,6651
BLACK HAWK,2019,3700,900,5657,185,622,622,4699,314975,342,6847
BOONE,1968,8500,1500,8193,425,2954,2954,5545,264936,847,16932
BOONE,1969,8700,1300,9424,435,2512,2512,5955,257602,788,15757
BOONE,1970,9600,1100,9424,480,2025,2025,5955,265602,780,15597
BOONE,1971,10300,1100,8483,515,1814,1814,5641,260269,659,13187
BOONE,1972,12400,1100,8994,620,1503,1503,5812,259269,678,13554
BOONE,1973,11700,600,8185,585,950,950,12395,260269,671,13421
