CountyName,Year,State,CN_lb/ac
BREMER,1979,IA,59.65091142
BREMER,1980,IA,58.9589053
BREMER,1981,IA,63.26107703
BREMER,1982,IA,53.52926742
BREMER,1983,IA,56.10379219
BREMER,1984,IA,59.47662548
BREMER,1985,IA,60.09207553
BREMER,1986,IA,55.05909169
BREMER,1987,IA,59.01372385
BREMER,1988,IA,64.34710344
BREMER,1989,IA,59.4753259
BREMER,1990,IA,60.55564377
BREMER,1991,IA,60.80284532
BREMER,1992,IA,56.84817086
BREMER,1993,IA,50.25172732
BREMER,1994,IA,66.09197444
BREMER,1995,IA,54.05854811
BREMER,1996,IA,66.1322612
BREMER,1997,IA,59.61508616
BREMER,1998,IA,59.31444213
BREMER,1999,IA,59.33075809
BREMER,2000,IA,59.84981966
BREMER,2001,IA,51.15377174
BREMER,2002,IA,53.05838397
BREMER,2003,IA,58.86330986
BREMER,2004,IA,59.24489578
BREMER,2005,IA,66.50782977
BREMER,2006,IA,63.37260379
BREMER,2007,IA,73.33821943
BREMER,2008,IA,74.73964447
BREMER,2009,IA,61.60932623
BREMER,2010,IA,71.3995489
BREMER,2011,IA,86.76172736
BREMER,2012,IA,88.77861071
BREMER,2013,IA,77.8761514
BREMER,2014,IA,69.89513232
BREMER,2015,IA,69.65916355
BREMER,2016,IA,74.38898325
BREMER,2017,IA,75.84612007
BREMER,2018,IA,68.31634506
BREMER,2019,IA,69.11584904
BUCHANAN,1968,IA,42.69600457
BUCHANAN,1969,IA,40.31802995
BUCHANAN,1970,IA,42.03922102
BUCHANAN,1971,IA,42.50552055
BUCHANAN,1972,IA,43.66904293
BUCHANAN,1973,IA,54.75942855
BUCHANAN,1974,IA,56.81233479
BUCHANAN,1975,IA,51.13480096
BUCHANAN,1976,IA,70.82903225
BUCHANAN,1977,IA,62.37928904
BUCHANAN,1978,IA,56.46027198
BUCHANAN,1979,IA,64.94726585
BUCHANAN,1980,IA,64.56644704
BUCHANAN,1981,IA,70.92991797
BUCHANAN,1982,IA,64.29398033
BUCHANAN,1983,IA,61.78226997
BUCHANAN,1984,IA,65.48630241
BUCHANAN,1985,IA,69.54530328
BUCHANAN,1986,IA,63.2484998
BUCHANAN,1987,IA,66.65923953
BUCHANAN,1988,IA,71.90254991
BUCHANAN,1989,IA,65.18925084
BUCHANAN,1990,IA,65.27805928
BUCHANAN,1991,IA,64.93192077
BUCHANAN,1992,IA,63.59989718
BUCHANAN,1993,IA,57.64973278
BUCHANAN,1994,IA,70.06425017
BUCHANAN,1995,IA,58.68423565
BUCHANAN,1996,IA,74.04894617
BUCHANAN,1997,IA,66.47471774
BUCHANAN,1998,IA,65.41268971
BUCHANAN,1999,IA,62.2724234
BUCHANAN,2000,IA,64.33753563
BUCHANAN,2001,IA,54.58336426
BUCHANAN,2002,IA,56.61373906
BUCHANAN,2003,IA,63.3973727
BUCHANAN,2004,IA,64.04158684
BUCHANAN,2005,IA,68.3180848
BUCHANAN,2006,IA,68.07879069
BUCHANAN,2007,IA,78.84868177
BUCHANAN,2008,IA,81.9826783
BUCHANAN,2009,IA,64.63538698
BUCHANAN,2010,IA,84.69870875
BUCHANAN,2011,IA,108.2143358
BUCHANAN,2012,IA,102.2324456
BUCHANAN,2013,IA,95.40575782
BUCHANAN,2014,IA,84.50772208
BUCHANAN,2015,IA,89.02314318
BUCHANAN,2016,IA,95.32482478
BUCHANAN,2017,IA,97.332004
BUCHANAN,2018,IA,87.46170392
BUCHANAN,2019,IA,88.50167985
BUENA VISTA,1968,IA,50.65074191
BUENA VISTA,1969,IA,53.86112182
BUENA VISTA,1970,IA,53.26542826
BUENA VISTA,1971,IA,52.57633325
BUENA VISTA,1972,IA,53.37948
BUENA VISTA,1973,IA,57.4853959
BUENA VISTA,1974,IA,58.31915997
BUENA VISTA,1975,IA,58.38279216
BUENA VISTA,1976,IA,79.85927632
BUENA VISTA,1977,IA,72.21363171
BUENA VISTA,1978,IA,70.3306521
BUENA VISTA,1979,IA,81.30714969
BUENA VISTA,1980,IA,79.30058228
BUENA VISTA,1981,IA,83.97700759
BUENA VISTA,1982,IA,75.23215272
BUENA VISTA,1983,IA,75.13744897
BUENA VISTA,1984,IA,76.0960768
BUENA VISTA,1985,IA,80.0230239
BUENA VISTA,1986,IA,72.07283012
BUENA VISTA,1987,IA,75.44044098
BUENA VISTA,1988,IA,82.4318929
BUENA VISTA,1989,IA,75.22529701
BUENA VISTA,1990,IA,74.1128106
BUENA VISTA,1991,IA,68.75345974
BUENA VISTA,1992,IA,66.58692693
BUENA VISTA,1993,IA,58.2676451
BUENA VISTA,1994,IA,76.74536771
BUENA VISTA,1995,IA,63.18969509
BUENA VISTA,1996,IA,76.17891323
BUENA VISTA,1997,IA,65.83368741
BUENA VISTA,1998,IA,65.87783942
BUENA VISTA,1999,IA,63.56629286
BUENA VISTA,2000,IA,68.26622315
BUENA VISTA,2001,IA,58.25177866
BUENA VISTA,2002,IA,59.2674667
BUENA VISTA,2003,IA,67.19553038
BUENA VISTA,2004,IA,66.755476
BUENA VISTA,2005,IA,74.38216552
BUENA VISTA,2006,IA,69.27383413
BUENA VISTA,2007,IA,90.94283985
BUENA VISTA,2008,IA,82.96765512
BUENA VISTA,2009,IA,80.59152712
BUENA VISTA,2010,IA,68.03440148
BUENA VISTA,2011,IA,84.68658657
BUENA VISTA,2012,IA,86.7539205
BUENA VISTA,2013,IA,75.47272386
BUENA VISTA,2014,IA,69.0969596
